config_num,layers_config,dropout_rate,learning_rate,batch_size,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std
15,"[128, 64, 32, 16]",0.2,0.001,512,1.6687,0.0945,0.9776,0.0991
3,"[128, 64, 32, 16]",0.2,0.01,512,1.6793,0.0663,1.0072,0.1061
8,"[256, 128, 64]",0.3,0.0001,512,1.705,0.1231,1.0552,0.0633
5,"[256, 128, 64]",0.3,0.0001,512,1.705,0.1231,1.0552,0.0633
11,"[128, 64, 32, 16]",0.3,0.0001,256,1.7192,0.1461,1.0477,0.0695
13,"[128, 64, 32, 16]",0.3,0.001,512,1.7236,0.0541,0.9981,0.0521
4,"[128, 64, 32, 16]",0.2,0.0001,256,1.7242,0.1381,1.0712,0.0719
14,"[128, 64, 32, 16]",0.3,0.01,512,1.7268,0.0875,1.0281,0.0997
1,"[256, 128, 64]",0.3,0.0001,256,1.7282,0.1257,1.0633,0.0747
10,"[128, 64, 32, 16]",0.3,0.0001,512,1.7466,0.1894,1.061,0.085
6,"[128, 64, 32, 16]",0.2,0.0001,512,1.7517,0.1609,1.0717,0.0511
9,"[128, 64, 32, 16]",0.3,0.01,512,1.768,0.1328,1.0535,0.1119
2,"[128, 64, 32, 16]",0.2,0.01,256,1.7709,0.1666,1.0418,0.0766
7,"[128, 64, 32, 16]",0.3,0.01,256,1.8227,0.0939,1.0682,0.1056
12,"[256, 128, 64, 32]",0.2,0.01,512,2.8406,2.1693,1.0573,0.1308
