feature,coefficient,abs_coefficient
weather_hot,0.86277896,0.86277896
demand_t_minus_1,0.7588698,0.7588698
weather_clear,0.59360987,0.59360987
weather_rain,0.5265755,0.5265755
rolling_mean_7d,0.48605964,0.48605964
temperature,0.35650292,0.35650292
weather_windy,0.30219525,0.30219525
is_peak_hour,0.2952766,0.2952766
hour_of_day_cos,-0.26280528,0.26280528
hour_of_day_sin,-0.24452078,0.24452078
day_of_week_average_4w,0.21693441,0.21693441
subscriber_ratio,-0.19353832,0.19353832
station_capacity,0.16174713,0.16174713
month_cos,0.15392123,0.15392123
feels_like_temperature,-0.13238487,0.13238487
month_to_date_average,0.11729977,0.11729977
weather_heavy_rain,0.09011144,0.09011144
demand_t_minus_24,-0.078164995,0.078164995
rolling_std_7d,-0.056986257,0.056986257
weather_severity_score,-0.053311888,0.053311888
weather_severity_score.1,-0.05331188,0.05331188
day_of_week_cos,-0.04080387,0.04080387
month_sin,0.038921315,0.038921315
trend_coefficient_7d,0.03837132,0.03837132
average_age_bracket,0.03628984,0.03628984
is_weekend,0.031798452,0.031798452
station_longitude,-0.026060138,0.026060138
return_trip_probability,0.025962608,0.025962608
station_latitude,-0.025412356,0.025412356
day_of_week_sin,-0.018459309,0.018459309
demand_t_minus_168,-0.01090265,0.01090265
same_hour_previous_week,-0.010902646,0.010902646
is_holiday,0.007986572,0.007986572
wind_speed_mph,-0.006323704,0.006323704
precipitation_mm,-0.0027226696,0.0027226696
average_trip_duration,0.0023450907,0.0023450907
neighborhood_cluster_id,0.00094929256,0.00094929256
special_event_flag,-0.0004521366,0.0004521366
